,0
0,DM-04-06-04
1,DM-11-03-05
2,DM-11-03-11
3,DM-12-03-09
4,DM-01-01-05
5,DM-13-04-07
6,DM-14-11-11
7,DM-11-08-05
8,DM-11-06-06
9,DM-04-06-10
10,DM-04-09-06
11,DM-02-02-03
12,DM-07-06-09
13,DM-01-09-04
14,DM-04-08-09
15,DM-11-08-07
16,DM-03-03-05
17,DM-17-01-09
18,DM-16-03-03
19,DM-04-06-13
20,DM-04-08-10
21,DM-14-11-13
22,DM-14-11-04
23,DM-56-01-05
24,DM-54-08-08
25,DM-16-03-08
26,DM-16-04-06
27,DM-04-06-02
28,DM-06-06-09
29,DM-04-09-10
30,DM-54-05-03
31,DM-03-06-10
32,DM-54-08-04
33,DM-54-08-07
34,DM-54-08-02
35,DM-14-11-03
36,DM-07-05-03
37,DM-56-04-04
38,DM-01-09-05
39,DM-56-03-05
40,DM-56-03-06
41,DM-14-11-12
42,DM-14-11-05
43,DM-07-04-20
44,DM-05-02-03
45,DM-56-06-06
46,DM-56-04-02
47,DM-15-05-04
48,DM-56-02-10
49,DM-15-05-09
50,DM-16-08-03
51,DM-15-05-03
52,DM-15-07-02
53,DM-14-17-05
54,DM-56-05-03
55,DM-53-05-08
56,DM-53-03-05
57,DM-16-04-05
58,DM-53-01-07
59,DM-12-06-11
60,DM-12-02-02
61,DM-54-07-03
62,DM-53-02-07
63,DM-12-02-09
