BANGPLEE,LADKRABUNG,MINBURI,SUMRONG,RATBURANA,PETKASEM,MAHASAWAT,PAHONYOTHIN,THAPRA,TONBURI,BK03,BK04,LADPRAW,LUMPINEE,SAMSEN,KLONGTAEY
VAL-959,VAL-959,VAL-2244,VAL-1263,VAL-699,VAL-480,VAL-452,VAL-289,VAL-706,VAL-747,VAL-1974,VAL-1745,VAL-1600,VAL-606,VAL-724,VAL-1366
VAL-1400,VAL-1400,VAL-2238,VAL-1155,VAL-736,VAL-2113,VAL-377,VAL-1601,VAL-503,VAL-387,VAL-2189,VAL-1573,VAL-1662,VAL-859,VAL-608,VAL-1213
VAL-1179,VAL-1179,VAL-1825,VAL-1435,VAL-1287,VAL-377,VAL-2113,VAL-1769,VAL-594,VAL-2226,VAL-2161,VAL-1637,VAL-1854,VAL-822,VAL-775,VAL-1156
VAL-1052,VAL-1052,VAL-1900,VAL-1148,VAL-480,VAL-452,VAL-1974,VAL-1834,VAL-384,VAL-2197,VAL-2097,VAL-1747,VAL-1562,VAL-903,VAL-849,VAL-1040
VAL-1148,VAL-1435,VAL-1823,VAL-1302,VAL-581,VAL-580,VAL-2189,VAL-1535,VAL-581,VAL-2018,VAL-2138,VAL-1630,VAL-1680,VAL-2289,VAL-883,VAL-1323
VAL-1302,VAL-1155,VAL-1942,VAL-1141,VAL-384,VAL-343,VAL-2161,VAL-1532,VAL-343,VAL-207,VAL-257,VAL-1680,VAL-1630,VAL-812,VAL-812,VAL-1150
VAL-1141,VAL-1263,VAL-1681,VAL-1287,VAL-594,,VAL-2097,VAL-237,VAL-580,VAL-216,VAL-211,VAL-1562,VAL-1810,VAL-634,VAL-634,VAL-1564
,VAL-1156,VAL-1939,VAL-736,VAL-503,,VAL-2138,VAL-181,VAL-416,,VAL-306,VAL-1854,VAL-1939,VAL-849,VAL-2288,VAL-1254
,VAL-1040,VAL-1810,VAL-699,VAL-706,,VAL-257,VAL-32,VAL-422,,VAL-192,VAL-1662,VAL-1681,VAL-883,VAL-32,VAL-1133
,VAL-1323,VAL-1747,VAL-1366,,,VAL-8,,VAL-387,,VAL-201,VAL-1600,VAL-1674,VAL-724,VAL-181,VAL-1416
,VAL-1564,VAL-1637,VAL-1213,,,VAL-207,,VAL-747,,VAL-1779,VAL-1834,VAL-1150,VAL-608,VAL-237,VAL-1417
,VAL-1864,VAL-1573,,,,VAL-2018,,VAL-606,,VAL-2282,VAL-1532,VAL-1864,VAL-775,VAL-1591,VAL-1119
,VAL-1674,VAL-1745,,,,VAL-2197,,,,VAL-1840,VAL-1535,VAL-1254,,VAL-192,VAL-1352
,VAL-1942,,,,,VAL-2226,,,,VAL-1612,VAL-1591,VAL-1133,,VAL-306,VAL-1770
,VAL-1823,,,,,VAL-442,,,,,VAL-201,VAL-1416,,VAL-211,VAL-1831
,VAL-1900,,,,,VAL-416,,,,,VAL-1779,VAL-1417,,VAL-8,VAL-2288
,VAL-1825,,,,,,,,,,VAL-2282,VAL-1119,,VAL-216,VAL-2289
,VAL-2238,,,,,,,,,,VAL-1840,VAL-1352,,,VAL-822
,VAL-2244,,,,,,,,,,VAL-1612,VAL-1770,,,VAL-903
,,,,,,,,,,,,VAL-1831,,,VAL-859
,,,,,,,,,,,,VAL-289,,,
,,,,,,,,,,,,VAL-1601,,,
,,,,,,,,,,,,VAL-1769,,,
